"","barcode","Genotype","line","compartment","plant_height","branch_number","pod_weight_plant","main","pods_plant","pods_branch","weight_pod","first_flowers_DAS","peak_flowers_DAS","flowering_days_to_peak","total_flowering_days","pixel.day_peak","pixel.days_to_peak","total_pixel.days","mean_pixel.days_to_peak","R01_raceme_start","R02_mean_rate","R03_max_rate","R04_DAS_of_max_rate","R05_main_ext_period","R06_50ht_period","R07_75ht_period","R08_50ht_rate","R09_75ht_rate","R10_max_height","R11_max_height_DAS","R12_extension_days_to_max","seed wt_10p_g","seeds_per_pod","TGW_g","BBCH51","BBCH61"
"21","BR024-03215","O1","L2","C6",75,5,25.4,NA,NA,NA,NA,53,83,31,43,17085,179482.5,228817.5,5789.758065,55.58657407,14.45379056,43.00696872,55.58657407,27.84044769,8.14292328,21.91691744,24.56120402,14.89716795,806,103.5870139,48.00043981,0,0,NA,41,54
"22","BR024-03216","O1","L3","C6",65,5,24.7,NA,427,71,0.057845433,51,76,26,40,11530,94598.5,175316,3638.403846,60.65422454,13.81371275,31.99370494,68.65415509,17.091712,7.921790184,13.15237747,12.18158999,13.97085816,649,95.65418981,34.99996528,0,0,NA,39,54
"23","BR024-03217","O1","L4","C6",70,5,26.8,NA,NA,NA,NA,45,71,27,44,12105,98384,161619,3643.851852,50.71436343,16.89188558,39.00677201,52.71412037,18.75456701,4.36359112,8.37489294,34.8336945,30.44815042,712,77.71447917,27.00011574,102,0,2.55,37,45
"24","BR024-03218","O1","L5","C6",67,7,27.4,98,604,76,0.045364238,52,81,30,44,11330,118517.5,161582.5,3950.583333,58.78840278,12.67810099,88.00713021,67.78886574,17.76291262,5.625180845,11.83375772,16.71057386,14.87270605,628,97.78931713,39.00091435,468,1,3.6,39,51
"25","BR024-06111","O4","L6","C5",94,3,37.9,59,302,76,0.125496689,56,76,21,43,26567,258294.5,435810,12299.7381,58.32680556,23.68845587,35.98792072,59.3271412,22.54262595,8.767100694,17.26352887,30.79695436,25.19762924,960,89.32711806,31.0003125,3448,19,1.83,43,66
"26","BR024-06112","O4","L3","C5",67,5,35.2,NA,NA,NA,NA,57,76,20,41,26224,254692,466859,12734.6,58.16930556,22.73897024,35.99833341,60.16927083,23.00016204,9.444600051,18.54787147,28.27012246,23.02150954,940,99.17513889,41.00583333,3435,17,2.06,46,60
"27","BR024-06113","O4","L5","C5",84,5,36.2,13,254,42,0.142519685,57,76,20,48,25374,275625.5,459323.5,13781.275,57.27087963,23.02119278,35.99750017,59.27097222,19.4168914,7.384683048,12.91314513,31.28096338,28.34321123,840,95.27112269,38.00024306,4038,17,2.38,43,59
"28","BR024-06114","O4","L7","C5",65,4,32,NA,NA,NA,NA,57,77,21,39,24197,226329.5,413671.5,10777.59524,59.36643519,22.55568874,34.02047529,61.36606481,21.58657205,8.939934722,17.25888662,27.12547771,22.90124553,911,99.32357639,39.9571412,3343,18,1.89,46,60
"29","BR024-06215","O4","L1","C6",75,4,34.7,NA,NA,NA,NA,56,75,20,35,23646,241943,360549.5,12097.15,57.53335648,23.44433904,39.99398239,59.53019676,20.02615639,8.213422454,13.82365212,28.18557079,27.50720263,895,90.53010417,32.99674769,3644,17,2.11,46,59
"30","BR024-06216","O4","L3","C6",91,4,32.9,37,223,45,0.147533632,54,75,22,41,21242,255797.5,392313.5,11627.15909,56.64972222,24.88394938,47.99722238,58.64987269,19.98878845,6.615542201,16.73442587,37.94095667,24.2016071,916,101.6900231,45.04030093,4376,20,2.17,41,57
"31","BR024-06217","O4","L4","C6",86,4,32.5,34,222,44,0.146396396,54,76,23,44,20342,270361.5,413478,11754.84783,56.72704861,24.74090514,43.00497743,58.72681713,18.53610438,6.428561508,13.32136161,36.86672356,28.18780926,854,90.72703704,33.99998843,4713,19,2.52,41,57
"32","BR024-06218","O4","L7","C6",62,4,35,NA,NA,NA,NA,56,77,22,40,23578,276935.5,414099.5,12587.97727,56.85546296,25.55406772,48.00222233,58.85543981,18.29063009,6.7998125,12.89560836,34.26565071,29.42862324,886,91.8234375,34.96797454,4048,17,2.33,41,57
"33","BR024-07111","C1","L1","C5",98,7,20.1,NA,NA,NA,NA,62,72,11,31,1595,8195,14537.5,745,52.01232639,29.45458419,69.00079862,55.01231481,21.99997106,7.023232935,12.69443287,51.25844513,42.538332,1020,99.01229167,46.99996528,1950,5,3.75,48,63
"34","BR024-07112","C1","L3","C5",100,8,32.1,NA,NA,NA,NA,60,75,16,29,6780,51458,91793,3216.125,51.16333333,42.55609166,81.00750069,53.16313657,16.64626549,6.477299032,11.51393519,61.4453645,51.41595731,1076,92.16516204,41.0018287,2480,9,2.67,46,64
"35","BR024-07113","C1","L5","C5",104,6,30.5,65,515,74,0.059223301,61,78,18,26,8485,73815,92462.5,4100.833333,51.26505787,44.21096189,78.99085754,53.26516204,15.55722768,6.660881788,11.17575404,56.29885231,51.04800966,1082,85.26513889,34.00008102,2705,11,2.44,46,62
"36","BR024-07114","C1","L5","C5",115,8,31.4,40,511,57,0.061448141,61,77,17,23,8535,70422.5,100705,4142.5,50.28126157,41.30036125,88.98867042,53.28152778,18.74075617,6.522884049,12.41405372,64.69530914,51.71558095,1180,95.28157407,45.0003125,2309,9,2.68,48,62
"37","BR024-07215","C1","L1","C6",98,4,16.5,83,253,51,0.065217391,60,66,7,23,2805,10105,20235,1443.571429,50.5233912,35.76433986,67.99763897,52.52337963,19.88572983,7.189166274,12.50001736,55.63927509,47.55993394,1078,89.52342593,39.00003472,3165,9,3.68,46,60
"38","BR024-07216","C1","L3","C6",86,8,19.3,NA,NA,NA,NA,62,79,18,28,2570,12642.5,19425,702.3611111,54.6700463,32.83132085,60.99223478,55.67017361,13.94095602,4.904628329,9.130208218,49.035316,41.20935591,843,84.41799769,29.74795139,2643,10,2.75,48,63
"39","BR024-07217","C1","L5","C6",102,9,22.9,80,420,42,0.05452381,59,67,9,26,3295,17660,37027.5,1962.222222,49.77571759,49.14028622,94.01196912,52.7756713,14.17167163,5.535906498,10.10030093,70.44916675,57.57254207,1066,86.77613426,37.00041667,2496,9,2.94,46,61
"40","BR024-07218","C1","L7","C6",106,9,27.6,NA,NA,NA,NA,59,71,13,26,5890,44040,71092.5,3387.692308,49.88378472,46.29884828,102.0425177,52.88394676,17.09113789,6.190662847,11.38025538,71.80168117,58.10502295,1167,94.88510417,45.00131944,2055,4,5.01,46,61
"41","BR024-08111","C2","L1","C5",156,18,8.5,NA,NA,NA,NA,63,78,16,32,20955,169607.5,265857.5,10600.46875,50.01342593,56.04029995,107.9950002,54.01344907,23.88459736,7.846598932,16.01564761,94.88187257,69.66624313,1785,90.01344907,40.00002315,2018,3,5.94,50,65
"42","BR024-08112","C2","L3","C5",155,16,16.4,131,286,17,0.057342657,62,80,19,28,40590,326809.5,445129.5,17200.5,49.16710648,62.20528126,138.012779,53.1669213,22.1042325,7.772779882,14.93934379,98.67769468,76.77713402,1820,82.1672338,33.00012731,2355,4,5.48,50,66
