plant_id,genotype_name,first_flowers_DAS,peak_flowers_DAS,flowering_days_to_peak,total_flowering_days,flowering_finished,pixel.day_peak,pixel.days_to_peak,total_pixel.days,mean_pixel.days_to_peak
BR024-37215,PH37,64,100,37,41,NO,9515,130237.5,161377.5,3519.932432
BR024-37216,PH37,58,74,17,47,NO,35817,282629,560258,16625.23529
BR024-37217,PH37,56,75,20,47,YES,22760,215622,389262,10781.1
BR024-37218,PH37,59,77,19,46,NO,35826,302811.5,606487.5,15937.44737
BR024-38111,PH38,57,73,17,39,YES,45443,337129,734791.5,19831.11765
BR024-38112,PH38,61,80,20,44,NO,41249,404378.5,1003994,20218.925
BR024-38113,PH38,56,76,21,49,NO,46200,472302,968548.5,22490.57143
BR024-38114,PH38,58,88,31,47,NO,22055,405984.5,535778,13096.27419
BR024-38215,PH38,58,76,19,47,NO,63180,548412,1039666,28863.78947
BR024-38216,PH38,57,75,19,38,YES,43828,367569.5,688794.5,19345.76316
BR024-38217,PH38,58,75,18,47,NO,29162,249238.5,430830,13846.58333
BR024-38218,PH38,59,79,21,46,NO,40469,408611,1020071,19457.66667
BR024-39111,PH39,62,76,15,44,NO,18670,126397.5,295880,8426.5
BR024-39112,PH39,64,76,13,39,YES,21920,133867.5,247445,10297.5
BR024-39113,PH39,62,78,17,43,NO,19950,142882.5,259360,8404.852941
BR024-39114,PH39,63,76,14,27,YES,2180,17512.5,23902.5,1250.892857
BR024-39215,PH39,63,77,15,26,YES,7855,57975,79345,3865
BR024-39216,PH39,64,84,21,41,NO,13165,138915,185387.5,6615
BR024-39217,PH39,61,75,15,44,NO,16570,103375,243570,6891.666667
BR024-39218,PH39,59,74,16,33,YES,28418,221072,359171,13817
BR024-40111,PH40,57,73,17,49,NO,19165,65550,191865,3855.882353
BR024-40112,PH40,48,71,24,57,NO,32075,208571,472023.5,8690.458333
BR024-40113,PH40,51,68,18,40,YES,45905,248740,668068,13818.88889
BR024-40114,PH40,53,71,19,41,YES,25740,223055,475236,11739.73684
BR024-40215,PH40,49,67,19,45,YES,40084,318555,747090.5,16766.05263
BR024-40216,PH40,53,72,20,34,YES,30946,336706,517454.5,16835.3
BR024-40217,PH40,51,74,24,44,YES,16160,145567.5,250232.5,6065.3125
BR024-40218,PH40,47,67,21,38,YES,42185,244485,577280,11642.14286
BR024-41111,PH41 ,61,75,15,38,YES,14985,135385,251570,9025.666667
BR024-41112,PH41 ,55,71,17,50,NO,30950,266890,567132,15699.41176
BR024-41113,PH41 ,57,75,19,37,YES,33245,306854.5,465495.5,16150.23684
BR024-41114,PH41 ,60,71,12,36,YES,5675,31705,97165,2642.083333
BR024-41215,PH41 ,57,70,14,48,NO,37932,231554,652642,16539.57143
BR024-41216,PH41 ,63,74,12,30,YES,1030,4727.5,13665,393.9583333
BR024-41217,PH41 ,54,65,12,40,YES,28869,164545,400857.5,13712.08333
BR024-41218,PH41 ,56,70,15,38,YES,36254,289217,489036,19281.13333
