plant_id,genotype_name,R01_raceme_start,R02_mean_rate,R03_max_rate,R04_DAS_of_max_rate,R05_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max
BR024-18218,PH18,59.85821759,51.16138424,84.09148842,63.85803241,21.80941772,9.039081197,15.76178451,68.92293436,59.06691589,1532,91.82642361,31.96820602
BR024-19111,PH19,61.02274306,48.04434962,71.99916668,63.02274306,17.45886887,8.428606151,13.54945952,55.76248215,51.69947917,1222,89.0228125,28.00006944
BR024-19112,PH19,56.15715278,50.99060641,78.00812585,59.15717593,20.96464575,10.02100887,16.23103191,60.37316279,55.1412877,1460,89.15740741,33.00025463
BR024-19113,PH19,59.20971065,43.47694796,81.01312713,62.20939815,28.72096729,11.6758314,19.30816599,59.56749253,53.92795983,1683,102.2131019,43.0033912
BR024-19114,PH19,61.28916667,42.00702481,59.00478048,63.28921296,26.07897143,11.88301138,19.57974026,50.61848218,46.48938074,1535,93.2890625,31.99989583
BR024-19215,PH19,63.51736111,34.27517129,55.99870373,65.51746528,29.59284992,10.95246629,20.08627634,49.98874093,41.78225898,1467,99.54427083,36.02690972
BR024-19216,PH19,59.64262731,32.99324283,77,61.64266204,29.26659877,10.24510039,17.07565762,51.53683029,46.93816296,1394,104.6426505,45.00002315
BR024-19217,PH19,56.76846065,50.72431292,86.01991202,58.76802083,23.34777805,9.888024525,17.2097486,65.68551669,57.16236901,1637,89.76834491,32.99988426
BR024-19218,PH19,66.87359954,29.95191333,71.94088191,70.87377315,31.6307005,10.14791967,24.44729812,52.12891088,32.33486155,1346,104.8731019,37.99950231
BR024-20111,PH20,46.02421296,30.81867628,106.0368183,48.02384259,21.58431446,10.93966505,17.74968461,34.5531603,31.4090088,1018,92.02391204,45.99969907
BR024-20112,PH20,46.16266204,22.98541502,112.0544709,48.16211806,31.89413805,11.2041814,19.8210148,37.6198836,31.09073911,1079,88.16236111,41.99969907
BR024-20113,PH20,49.20597222,14.52694083,110.9897232,49.20597222,28.16835319,12.23975278,18.28817508,11.27473753,16.81414349,978,85.208125,36.00215278
BR024-20114,PH20,55.29032407,14.02160713,29.00671452,57.29016204,23.05013947,11.909133,17.40000174,14.44269705,15.31609043,678,97.29046296,42.00013889
BR024-20215,PH20,47.52149306,29.46495837,93.02584051,48.52121528,22.9187495,10.09993168,17.78652829,36.8814376,31.58289189,1057,85.52122685,37.9997338
BR024-20216,PH20,45.613125,30.19083739,95.05500869,47.6124537,21.71519761,10.37854127,17.3786598,34.49425028,31.30275903,1044,83.61275463,37.99962963
