bc,c,seed wt_10p_g,seeds_per_pod,TGW_g
BR024-35217,PH35,596,3,1.92
BR024-35218,PH36,758,5,1.61
BR024-36111,PH36,2517,7,3.40
BR024-36112,PH36,2246,7,3.35
BR024-36113,PH36,2488,8,3.11
BR024-36114,PH36,2606,8,3.38
BR024-36215,PH36,1702,5,3.15
BR024-36216,PH36,2297,6,4.03
BR024-36217,PH36,2205,6,3.50
BR024-36218,PH37,1012,3,2.98
BR024-37111,PH37,1802,6,2.82
BR024-37112,PH37,2527,10,2.66
BR024-37113,PH37,1794,6,2.80
BR024-37114,PH37,1255,5,2.41
BR024-37215,PH37,948,3,3.06
BR024-37216,PH37,2408,9,2.77
BR024-37217,PH37,1702,7,2.54
BR024-37218,PH38,1210,5,2.69
BR024-38111,PH38,2418,10,2.33
BR024-38112,PH38,695,5,1.48
BR024-38113,PH38,1050,5,2.10
BR024-38114,PH38,1226,5,2.27
BR024-38215,PH38,716,3,2.17
BR024-38216,PH38,1407,6,2.23
BR024-38217,PH38,948,5,1.86
BR024-38218,PH39,833,5,1.60
BR024-39111,PH39,1032,4,2.65
BR024-39112,PH39,1895,4,4.74
BR024-39113,PH39,1665,5,3.08
BR024-39114,PH39,1591,5,2.95
BR024-39215,PH39,1551,5,3.04
BR024-39216,PH39,817,3,2.48
BR024-39217,PH39,1111,3,3.37
BR024-39218,PH40,1619,6,2.61
BR024-40111,PH40,1268,8,1.69
BR024-40112,PH40,1386,10,1.46
BR024-40113,PH40,2284,9,2.48
BR024-40114,PH40,1727,11,1.56
BR024-40215,PH40,1245,8,1.48
BR024-40216,PH40,2171,12,1.77
BR024-40217,PH40,1166,8,1.39
BR024-40218,PH41,2136,9,2.37
BR024-41111,PH41,1787,9,2.05
BR024-41112,PH41,1291,5,2.69
BR024-41113,PH41,2749,9,3.02
BR024-41114,PH41,2166,9,2.33
BR024-41215,PH41,2053,8,2.70
BR024-41216,PH41,1892,9,2.08
BR024-41217,PH41,2608,10,2.58
BR024-41218,PH42,3346,13,2.53
BR024-42111,PH42,725,3,2.20
BR024-42112,PH42,1680,7,2.55
BR024-42113,PH42,1839,7,2.83
BR024-42114,PH42,935,4,2.13
BR024-42215,PH42,627,3,2.32
BR024-42216,PH42,807,4,1.83
BR024-42217,PH42,1854,6,3.14
BR024-42218,PH43,1767,8,2.33
BR024-43111,PH43,928,4,2.58
BR024-43112,PH43,774,4,1.98
BR024-43113,PH43,249,2,1.66
BR024-43114,PH43,282,3,0.97
BR024-43215,PH43,422,3,1.36
BR024-43216,PH43,292,2,1.72
BR024-43217,PH43,558,3,2.07
BR024-43218,PH44,150,1,1.88
BR024-44111,PH44,1032,6,1.88
BR024-44112,PH44,1575,7,2.35
BR024-44113,PH44,1089,5,2.27
BR024-44114,PH44,793,3,2.83
BR024-44215,PH44,715,4,1.79
BR024-44216,PH44,689,3,2.03
BR024-44217,PH44,733,4,1.93
BR024-44218,PH45,1604,7,2.43
BR024-45111,PH45,237,1,2.96
BR024-45112,PH45,1217,4,3.04
BR024-45113,PH45,940,4,2.61
BR024-45114,PH45,1303,6,2.17
BR024-45215,PH45,2395,8,3.19
BR024-45216,PH45,321,1,2.47
BR024-45217,PH45,644,4,1.74
BR024-45218,PH46,352,2,1.68
BR024-46111,PH46,641,4,1.78
BR024-46112,PH46,1076,4,2.45
BR024-46113,PH46,1063,4,2.53
BR024-46114,PH46,1168,5,2.25
BR024-46215,PH46,1448,6,2.59
BR024-46216,PH46,2734,9,2.97
BR024-46217,PH46,1047,4,2.91
BR024-46218,PH47,654,4,1.72
BR024-47111,PH47,1327,7,2.01
BR024-47112,PH47,1462,6,2.44
BR024-47113,PH47,2324,10,2.42
BR024-47114,PH47,2624,10,2.65
BR024-47215,PH47,1402,5,2.70
BR024-47216,PH47,1909,7,2.58
BR024-47217,PH47,2743,11,2.52
BR024-47218,PH48,2309,7,3.25
BR024-48111,PH48,900,4,2.05
BR024-48112,PH48,1795,8,2.30
BR024-48113,PH48,734,5,1.47
BR024-48114,PH48,1489,7,2.26
BR024-48215,PH48,895,4,2.08
BR024-48216,PH48,2235,9,2.57
BR024-48217,PH48,2254,10,2.30
BR024-48218,PH49,1869,7,2.56
BR024-49111,PH49,599,5,1.33
BR024-49112,PH49,1861,7,2.70
BR024-49113,PH49,1168,5,2.43
BR024-49114,PH49,867,4,2.11
BR024-49215,PH49,646,2,3.59
BR024-49216,PH49,585,4,1.63
BR024-49217,PH49,1390,8,1.78
BR024-49218,PH49,1746,7,2.43
