plant_id,genotype_name,R01_raceme_start,R02_mean_rate,R03_max_rate,R04_DAS_of_max_rate,R05_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max
BR024-07112,PH07,51.16333333,42.55609166,81.00750069,53.16313657,16.64626549,6.477299032,11.51393519,61.4453645,51.41595731,1076,92.16516204,41.0018287
BR024-07113,PH07,51.26505787,44.21096189,78.99085754,53.26516204,15.55722768,6.660881788,11.17575404,56.29885231,51.04800966,1082,85.26513889,34.00008102
BR024-07114,PH07,50.28126157,41.30036125,88.98867042,53.28152778,18.74075617,6.522884049,12.41405372,64.69530914,51.71558095,1180,95.28157407,45.0003125
BR024-07215,PH07,50.5233912,35.76433986,82.99807875,55.52340278,19.88572983,7.189166274,12.50001736,55.63927509,47.55993394,1078,89.52342593,39.00003472
BR024-07216,PH07,54.6700463,32.83132085,9.99907416,66.67028935,13.94095602,4.904628329,9.130208218,49.035316,41.20935591,843,84.41799769,29.74795139
BR024-07217,PH07,49.77571759,49.14028622,94.01196912,52.7756713,14.17167163,5.535906498,10.10030093,70.44916675,57.57254207,1066,86.77613426,37.00041667
BR024-07218,PH07,49.88378472,46.29884828,77.97112181,55.884375,17.09113789,6.190662847,11.38025538,71.80168117,58.10502295,1167,94.88510417,45.00131944
BR024-08111,PH08,50.01342593,56.04029995,98,57.01341435,23.88459736,7.846598932,16.01564761,94.88187257,69.66624313,1785,90.01344907,40.00002315
BR024-08112,PH08,49.16710648,62.20528126,87.97556234,57.16722222,22.1042325,7.772779882,14.93934379,98.67769468,76.77713402,1820,82.1672338,33.00012731
BR024-08113,PH08,52.23100694,47.00248815,8.001203885,61.23108796,27.68576837,9.070437543,15.38261149,77.44940602,69.99786745,1797,89.23123843,37.00023148
BR024-08114,PH08,50.37387731,64.84766417,98.96449191,57.36732639,17.99756421,6.907559682,12.25405357,92.5797285,79.09627571,1619,95.36798611,44.9941088
BR024-08215,PH08,50.53489583,62.81423062,95.01099664,54.53486111,19.4000625,6.672477591,12.54690954,100.2626072,80.69716265,1674,83.53494213,33.0000463
BR024-08216,PH08,49.64048611,70.28559904,79.99351904,55.64055556,16.10998576,5.468776403,10.80499323,112.9137406,86.92740292,1587,85.64043981,35.9999537
BR024-08217,PH08,48.77284722,69.92008521,98.02382524,51.7725,17.85323911,6.897046395,12.23822391,100.5502878,85.0000791,1687,98.77296296,50.00011574
BR024-08218,PH08,51.78996528,50.05419504,92.98923736,56.79038194,28.07556887,8.969375494,16.62183118,87.24130242,70.49463967,1857,86.79033565,35.00037037
BR024-09111,PH09,42.01461806,70.83587361,88.00203708,49.01447917,15.71943626,6.903272438,11.8749349,93.21666004,78.9267485,1475,67.01452546,24.99990741
