barcode,code,code genotype long,line,compartment,ph,bn,pw,main,pnp,pb,wp
BR024-11216,PH11,PH11 B juncea 4x,L2,C6,169,10,42.5,41,554,50,0.076714801
BR024-11217,PH11,PH11 B juncea 4x,L4,C6,172,7,44.5,,,,
BR024-11218,PH11,PH11 B juncea 4x,L7,C6,160,8,44.3,,,,
BR024-12111,PH12,PH12 B napus 4x,L6,C5,115,8,53.9,46,505,56,0.106732673
BR024-12112,PH12,PH12 B napus 4x,L2,C5,112,6,52.1,,,,
BR024-12113,PH12,PH12 B napus 4x,L5,C5,113,10,50.7,37,482,44,0.105186722
BR024-12114,PH12,PH12 B napus 4x,L7,C5,100,6,52.5,,,,
BR024-12215,PH12,PH12 B napus 4x,L1,C6,114,6,51.2,,,,
BR024-12216,PH12,PH12 B napus 4x,L2,C6,118,12,52.3,53,462,36,0.113203463
BR024-12217,PH12,PH12 B napus 4x,L4,C6,93,10,59.2,79,520,47,0.113846154
BR024-12218,PH12,PH12 B napus 4x,L5,C6,110,6,54,,,,
BR024-13111,PH13,PH13 B napus 4x,L1,C5,120,9,60.1,,,,
BR024-13112,PH13,PH13 B napus 4x,L2,C5,110,12,67.1,92,489,38,0.137218814
BR024-13113,PH13,PH13 B napus 4x,L4,C5,141,12,53.9,42,535,41,0.100747664
BR024-13114,PH13,PH13 B napus 4x,L5,C5,103,10,54.2,17,458,42,0.118340611
BR024-13215,PH13,PH13 B napus 4x,L1,C6,118,9,49.6,,,,
BR024-13216,PH13,PH13 B napus 4x,L3,C6,112,9,56.4,26,466,47,0.121030043
BR024-13217,PH13,PH13 B napus 4x,L4,C6,127,11,61.1,36,511,43,0.119569472
BR024-13218,PH13,PH13 B napus 4x,L7,C6,113,8,51.9,,,,
BR024-14111,PH14,PH14  B napus 4x,L5,C5,145,11,39.6,,,,
BR024-14112,PH14,PH14  B napus 4x,L7,C5,110,10,56.4,,,,
BR024-14113,PH14,PH14 B napus 4x,L1,C6,132,13,35.9,6,368,26,0.097554348
BR024-14114,PH14,PH14 B napus 4x,L3,C6,121,11,47.1,6,512,43,0.091992188
BR024-14215,PH14,PH14 B napus 4x,L4,C6,126,11,38.8,48,447,37,0.086800895
BR024-14216,PH14,PH14 B napus 4x,L7,C6,100,11,49.6,,,,
BR024-14217,PH14,PH14 B napus 4x,L1,C5,111,13,39.2,25,436,31,0.089908257
BR024-14218,PH14,PH14 B napus 4x,L2,C5,98,12,35.1,,,,
BR024-15111,PH15,PH15 (2016) B napus 4x,L1,C5,110,5,17.5,,,,
BR024-15112,PH15,PH15 (2016) B napus 4x,L2,C5,113,8,37,,,,
BR024-15113,PH15,PH15 (2016) B napus 4x,L4,C5,62,9,39.1,37,488,49,0.080122951
BR024-16111,PH16,PH16 B napus 4x,L6,C5,118,7,29.7,60,308,39,0.096428571
BR024-16112,PH16,PH16 B napus 4x,L2,C5,118,10,41.6,,,,
BR024-16113,PH16,PH16 B napus 4x,L4,C5,97,5,11.1,53,137,23,0.081021898
BR024-16114,PH16,PH16 B napus 4x,L5,C5,116,6,9.5,,,,
BR024-16215,PH16,PH16 B napus 4x,L2,C6,117,6,26.4,,,,
BR024-16216,PH16,PH16 B napus 4x,L2,C6,106,4,9.1,,,,
BR024-16217,PH16,PH16 B napus 4x,L4,C6,105,5,11.4,29,126,21,0.09047619
BR024-16218,PH16,PH16 B napus 4x,L7,C6,108,6,19.8,54,167,24,0.118562874
BR024-17111,PH17,PH17 syn Bnapus 4x,L1,C5,180,4,35.2,75,233,47,0.151072961
BR024-17112,PH17,PH17 syn Bnapus 4x,L3,C5,170,4,42.6,,,,
BR024-17113,PH17,PH17 syn Bnapus 4x,L5,C5,181,3,32,34,177,44,0.18079096
BR024-17114,PH17,PH17 syn Bnapus 4x,L5,C5,194,3,29.9,,,,
BR024-17215,PH17,PH17 syn Bnapus 4x,L1,C6,165,3,31.7,,,,
BR024-17216,PH17,PH17 syn Bnapus 4x,L3,C6,210,3,43.9,,,,
BR024-17217,PH17,PH17 syn Bnapus 4x,L5,C6,172,3,33.6,23,206,52,0.163106796
BR024-17218,PH17,PH17 syn Bnapus 4x,L7,C6,162,5,40.2,77,297,50,0.135353535
BR024-18111,PH18,PH18 syn Bnapus 4x,L6,C5,167,7,43.6,,,,
BR024-18112,PH18,PH18 syn Bnapus 4x,L3,C5,152,7,1,,,,
BR024-18113,PH18,PH18 syn Bnapus 4x,L4,C5,133,8,31.4,31,244,27,0.128688525
BR024-18114,PH18,PH18 syn Bnapus 4x,L7,C5,153,9,30.1,43,170,17,0.177058824
BR024-18215,PH18,PH18 syn Bnapus 4x,L1,C6,159,7,28.6,56,229,29,0.12489083
BR024-18216,PH18,PH18 syn Bnapus 4x,L3,C6,152,8,15.6,,,,
BR024-18217,PH18,PH18 syn Bnapus 4x,L5,C6,160,10,15.3,38,166,15,0.092168675
BR024-18218,PH18,PH18 syn Bnapus 4x,L7,C6,164,7,7.2,,,,
BR024-19111,PH19,PH19 syn Bnapus 4x,L1,C5,113,13,13.6,,,,
BR024-19112,PH19,PH19 syn Bnapus 4x,L3,C5,135,12,20,,,,
BR024-19113,PH19,PH19 syn Bnapus 4x,L4,C5,155,9,25.3,34,230,23,0.11
BR024-19114,PH19,PH19 syn Bnapus 4x,L5,C5,172,11,4.2,20,67,6,0.062686567
BR024-19215,PH19,PH19 ,L1,C6,148,13,0.2,,,,
BR024-19216,PH19,PH19 syn Bnapus 4x,L3,C6,136,11,14.8,41,179,15,0.082681564
BR024-19217,PH19,PH19 syn Bnapus 4x,L5,C6,183,8,29.3,37,235,26,0.124680851
BR024-19218,PH19,PH19 syn Bnapus 4x,L7,C6,150,9,0,,,,
BR024-20111,PH20,PH20 syn Bj x Bc 4x,L1,C5,99,8,28.2,,,,
BR024-20112,PH20,PH20 syn Bj x Bc 4x,L3,C5,100,7,32.2,,,,
BR024-20113,PH20,PH20 syn Bj x Bc 4x,L4,C5,94,9,26.3,,472,47,0.055720339
BR024-20114,PH20,PH20 syn Bj x Bc 4x,L5,C5,65,5,18.5,NA,369,62,0.050135501
BR024-20215,PH20,PH20 syn Bj x Bc 4x,L1,C6,98,7,26.1,,,,
BR024-20216,PH20,PH20 syn Bj x Bc 4x,L2,C6,102,8,32.6,,616,68,0.052922078
BR024-20217,PH20,PH20 syn Bj x Bc 4x,L5,C6,83,6,18.8,NA,402,57,0.046766169
BR024-20218,PH20,PH20 syn Bj x Bc 4x,L7,C6,103,10,42.4,,,,
BR024-21111,PH21,PH21 syn Bj x Bc 4x,L1,C5,146,14,8.6,70,209,14,0.041148325
BR024-21112,PH21,PH21 syn Bj x Bc 4x,L3,C5,125,16,5.4,128,140,8,0.038571429
BR024-21113,PH21,PH21 syn Bj x Bc 4x,L4,C5,129,21,1.7,,,,
BR024-21114,PH21,PH21 syn Bj x Bc 4x,L7,C5,80,22,0,,,,
BR024-21215,PH21,PH21 syn Bj x Bc 4x,L2,C6,123,24,0.4,,,,
BR024-21216,PH21,PH21 syn Bj x Bc 4x,L2,C6,122,6,9.2,48,167,24,0.05508982
BR024-21217,PH21,PH21 syn Bj x Bc 4x,L5,C6,135,5,4.6,48,113,19,0.040707965
BR024-21218,PH21,PH21 syn Bj x Bc 4x,L7,C6,122,22,1.5,,,,
BR024-22111,PH22,PH22 Brassica 6x,L6,C5,205,8,1.5,60,421,47,0.003562945
BR024-22112,PH22,PH22 Brassica 6x,L3,C5,215,12,18.7,,,,
BR024-22113,PH22,PH22 Brassica 6x,L5,C5,184,9,25.6,,,,
BR024-22114,PH22,PH22 Brassica 6x,L7,C5,175,9,15.6,77,436,44,0.035779817
BR024-22215,PH22,PH22 Brassica 6x,L2,C6,173,9,28.8,53,528,53,0.054545455
BR024-22216,PH22,PH22 Brassica 6x,L3,C6,175,10,20.7,56,460,42,0.045
BR024-22217,PH22,PH22 Brassica 6x,L4,C6,141,12,14.1,,,,
BR024-22218,PH22,PH22 Brassica 6x,L5,C6,174,19,29.8,,,,
BR024-23111,PH23,PH23 Brassica 6x,L1,C5,141,6,25.3,,,,
BR024-23112,PH23,PH23 Brassica 6x,L2,C5,141,7,26.8,,,,
BR024-23113,PH23,PH23 Brassica 6x,L5,C5,161,11,34,29,1119,93,0.030384272
BR024-23114,PH23,PH23 Brassica 6x,L7,C5,154,8,21.6,17,787,87,0.027445997
BR024-23215,PH23,PH23 Brassica 6x,L1,C6,130,7,28.9,,,,
BR024-23216,PH23,PH23 Brassica 6x,L3,C6,190,8,23.2,,,,
BR024-23217,PH23,PH23 Brassica 6x,L5,C6,190,10,27.3,30,938,85,0.029104478
BR024-23218,PH23,PH23 Brassica 6x,L5,C6,150,6,25.4,76,728,104,0.03489011
BR024-24111,PH24,PH24 Brassica 6x,L1,C5,125,5,26.1,14,148,25,0.176351351
BR024-24112,PH24,PH24 Brassica 6x,L2,C5,113,5,6.2,58,255,43,0.024313725
BR024-24113,PH24,PH24 Brassica 6x,L5,C5,114,14,13.8,,,,
BR024-24114,PH24,PH24 Brassica 6x,L7,C5,103,13,6,,,,
BR024-24215,PH24,PH24 Brassica 6x,L2,C6,118,9,13.7,,,,
BR024-24216,PH24,PH24 Brassica 6x,L3,C6,186,6,4.5,166,519,74,0.00867052
BR024-24217,PH24,PH24 Brassica 6x,L4,C6,120,11,4.3,,,,
BR024-24218,PH24,PH24 Brassica 6x,L7,C6,122,8,8.4,40,248,28,0.033870968
BR024-25111,PH25,PH25 Brassica 6x,L1,C5,162,16,35.4,,,,
BR024-25112,PH25,PH25 Brassica 6x,L3,C5,150,22,31.2,82,623,27,0.050080257
BR024-25113,PH25,PH25 Brassica 6x,L4,C5,155,24,44.1,112,706,28,0.062464589
BR024-25114,PH25,PH25 Brassica 6x,L5,C5,145,15,48.4,,,,
BR024-25215,PH25,PH25 Brassica 6x,L1,C6,142,16,39.1,107,600,35,0.065166667
BR024-25216,PH25,PH25 Brassica 6x,L3,C6,124,15,35.8,,,,
BR024-25217,PH25,PH25 Brassica 6x,L5,C6,159,12,35,,,,
BR024-25218,PH25,PH25 Brassica 6x,L5,C6,148,16,42.3,79,614,36,0.068892508
BR024-26111,PH26,PH26 Brassica 6x,L1,C5,140,13,35.2,,,,
BR024-26112,PH26,PH26 Brassica 6x,L2,C5,120,13,46.5,119,1041,74,0.044668588
BR024-26113,PH26,PH26 Brassica 6x,L4,C5,131,14,45.6,,,,
