barcode,code,code genotype long,line,compartment,ph,bn,pw,main,pnp,pb,wp
BR024-42218,PH42,PH42 Hex1,L7,C6,189,12,17,119,609,47,0.027914614
BR024-43111,PH43,PH43 F1,L2,C5,199,9,19.8,,,,
BR024-43112,PH43,PH43 F1,L2,C5,158,26,25.7,95,874,32,0.029405034
BR024-43113,PH43,PH43 F1,L4,C5,210,9,2.3,,,,
BR024-43114,PH43,PH43 F1,L7,C5,190,18,21.8,45,1061,56,0.020546654
BR024-43215,PH43,PH43 F1,L1,C6,193,16,3.2,,,,
BR024-43216,PH43,PH43 F1,L3,C6,228,10,3.5,42,214,19,0.01635514
BR024-43217,PH43,PH43 F1,L4,C6,184,10,18.8,,,,
BR024-43218,PH43,PH43 F1,L5,C6,185,13,0.6,4,28,2,0.021428571
BR024-44111,PH44,PH44 Hex1,L2,C5,140,8,17.1,,,,
BR024-44112,PH44,PH44 Hex1,L3,C5,172,11,21.3,8,544,45,0.039154412
BR024-44113,PH44,PH44 Hex1,L4,C5,170,14,14.8,26,486,32,0.030452675
BR024-44114,PH44,PH44 Hex1,L7,C5,124,10,7.5,,,,
BR024-44215,PH44,PH44 Hex1,L1,C6,163,12,5,12,217,17,0.023041475
BR024-44216,PH44,PH44 Hex1,L3,C6,117,11,14.5,,,,
BR024-44217,PH44,PH44 Hex1,L4,C6,112,18,12.2,16,423,22,0.028841608
BR024-44218,PH44,PH44 Hex1,L7,C6,125,9,26.1,,,,
BR024-45111,PH45,PH45 Hex2,L2,C5,163,23,0.9,8,56,2,0.016071429
BR024-45112,PH45,PH45 Hex2,L3,C5,145,19,10.2,,,,
BR024-45113,PH45,PH45 Hex2,L4,C5,158,16,28.9,,,,
BR024-45114,PH45,PH45 Hex2,L5,C5,170,18,25.3,69,783,41,0.032311622
BR024-45215,PH45,PH45 Hex2,L1,C6,170,14,28.7,,,,
BR024-45216,PH45,PH45 Hex2,L2,C6,156,18,2.2,71,142,7,0.015492958
BR024-45217,PH45,PH45 Hex2,L4,C6,150,22,5.1,,,,
BR024-45218,PH45,PH45 Hex2,L5,C6,179,19,2,8,42,2,0.047619048
BR024-46111,PH46,PH46 F1,L2,C5,159,15,8.3,31,323,20,0.025696594
BR024-46112,PH46,PH46 F1,L3,C5,134,12,24,,,,
BR024-46113,PH46,PH46 F1,L4,C5,110,12,22.3,,,,
BR024-46114,PH46,PH46 F1,L5,C5,189,17,13.6,23,466,26,0.029184549
BR024-46215,PH46,PH46 F1,L1,C6,157,13,20.3,34,571,41,0.035551664
BR024-46216,PH46,PH46 F1,L2,C6,140,11,32.3,,,,
BR024-46217,PH46,PH46 F1,L4,C6,168,18,31.9,37,818,43,0.038997555
BR024-46218,PH46,PH46 F1,L7,C6,160,13,12,,,,
BR024-47111,PH47,PH47 Hex1,L2,C5,138,7,37.7,,,,
BR024-47112,PH47,PH47 Hex1,L3,C5,164,8,39.7,83,772,86,0.05142487
BR024-47113,PH47,PH47 Hex1,L4,C5,122,8,45.5,53,816,91,0.055759804
BR024-47114,PH47,PH47 Hex1,L7,C5,120,6,38.2,,,,
BR024-47215,PH47,PH47 Hex1,L1,C6,164,9,28.8,,,,
BR024-47216,PH47,PH47 Hex1,L3,C6,180,8,41.4,134,792,88,0.052272727
BR024-47217,PH47,PH47 Hex1,L5,C6,149,7,42.3,,,,
BR024-47218,PH47,PH47 Hex1,L7,C6,198,6,32.6,133,546,78,0.05970696
BR024-48111,PH48,PH48 Hex2,L2,C5,86,7,20.6,,483,60,0.042650104
BR024-48112,PH48,PH48 Hex2,L3,C5,87,9,30.3,,,,
BR024-48113,PH48,PH48 Hex2,L4,C5,76,11,22.7,,,,
BR024-48114,PH48,PH48 Hex2,L7,C5,123,11,38.4,6,1123,94,0.034194123
BR024-48215,PH48,PH48 Hex2,L1,C6,110,13,3.7,8,172,12,0.021511628
BR024-48216,PH48,PH48 Hex2,L2,C6,116,13,37.2,,,,
BR024-48217,PH48,PH48 Hex2,L4,C6,115,10,38.2,,,,
BR024-48218,PH48,PH48 Hex2,L5,C6,92,9,29.1,1,700,70,0.041571429
BR024-49111,PH49,PH49 F1,L2,C5,152,5,32.1,,,,
BR024-49112,PH49,PH49 F1,L3,C5,147,7,39.9,,,,
BR024-49113,PH49,PH49 F1,L4,C5,177,7,27.8,36,747,93,0.037215529
BR024-49114,PH49,PH49 F1,L5,C5,140,9,24.6,51,920,92,0.02673913
BR024-49215,PH49,PH49 F1,L1,C6,192,9,10.2,,,,
BR024-49216,PH49,PH49 F1,L4,C6,125,11,19.8,15,916,76,0.021615721
BR024-49217,PH49,PH49 F1,L4,C6,132,7,31.6,1,1023,128,0.030889541
BR024-49218,PH49,PH49 F1,L7,C6,144,9,33.7,,,,
