code;location;barcode;L;C5;juvenile colour;BBCH51;BBCH61
PH16;1;BR024-16111;L6;C5;G;55;67
PH16;2;BR024-16215;L2;C6;G;57;70
PH16;2;BR024-16216;L2;C6;G;64;
PH16;2;BR024-16217;L4;C6;G;55;70
PH16;2;BR024-16218;L7;C6;G;53;72
PH17;1;BR024-17111;L1;C5;G;39;50
PH17;1;BR024-17112;L3;C5;G;41;55
PH17;1;BR024-17113;L5;C5;G;40;50
PH17;1;BR024-17114;L5;C5;G;40;53
PH17;2;BR024-17215;L1;C6;G;39;50
PH17;2;BR024-17216;L3;C6;G;41;50
PH17;2;BR024-17217;L5;C6;G;41;53
PH17;2;BR024-17218;L7;C6;G;46;55
PH18;1;BR024-18112;L3;C5;G;57;73
PH18;1;BR024-18113;L4;C5;G;50;61
PH18;1;BR024-18111;L6;C5;G;46;59
PH18;1;BR024-18114;L7;C5;G;46;61
PH18;2;BR024-18215;L1;C6;G;48;60
PH18;2;BR024-18216;L3;C6;G;50;64
PH18;2;BR024-18217;L5;C6;G;46;57
PH18;2;BR024-18218;L7;C6;G;53;65
PH19;1;BR024-19111;L1;C5;G;53;66
PH19;1;BR024-19112;L3;C5;G;50;63
PH19;1;BR024-19113;L4;C5;G;50;64
PH19;1;BR024-19114;L5;C5;G;50;66
PH19;1;BR024-1911X;L6;C5;G;53;64
PH19;2;BR024-19215;L1;C6;G;53;68
PH19;2;BR024-19216;L3;C6;G;52;64
PH19;2;BR024-19217;L5;C6;G;48;62
PH19;2;BR024-1921Y;L6;C6;;;
PH19;2;BR024-19218;L7;C6;G;58;72
PH20;1;BR024-20111;L1;C5;G;40;57
PH20;1;BR024-20112;L3;C5;P;41;50
PH20;1;BR024-20113;L4;C5;G;41;50
PH20;1;BR024-20114;L5;C5;G;41;52
PH20;2;BR024-20215;L1;C6;G;40;51
PH20;2;BR024-20216;L2;C6;G;40;50
PH20;2;BR024-20217;L5;C6;G;40;60
PH20;2;BR024-20218;L7;C6;G;41;51
PH21;1;BR024-21111;L1;C5;G;53;66
PH21;1;BR024-21112;L3;C5;G;50;64
PH21;1;BR024-21113;L4;C5;G;50;67
PH21;1;BR024-21114;L7;C5;G;53;61
PH21;2;BR024-21215;L2;C6;G;50;
PH21;2;BR024-21216;L2;C6;G;52;67
PH21;2;BR024-21217;L5;C6;G;50;64
PH21;2;BR024-21218;L7;C6;G;50;65
